MM,latitude,longitude
12,32.716753,-83.527175
12.5,32.711722,-83.521181
13,32.706675,-83.515139
13.5,32.701701,-83.509121
14,32.696706,-83.503115
14.5,32.69166,-83.497118
15,32.68668,-83.491157
15.5,32.681154,-83.485723
16,32.676288,-83.479752
16.5,32.672401,-83.472764
17,32.668434,-83.465733
17.5,32.664548,-83.458806
18,32.660574,-83.451713
18.5,32.656625,-83.444738
19,32.65347,-83.437286
19.5,32.651963,-83.430273
20,32.650298,-83.422329
20.5,32.647796,-83.41416
21,32.64294,-83.40643
21.5,32.638898,-83.39941
22,32.635646,-83.39211
